normalized_form	collision_description
severeintellectualdisabilityepilepsyanalanomaliesdistalphalangealhypoplasia	MONDO_0019786[label=severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia] | Orphanet_94066[label=Severe intellectual disability - epilepsy - anal anomalies - distal phalangeal hypoplasia]
severemyoclonicepilepsyofinfancy	MONDO_0100135[hasExactSynonym=severe myoclonic epilepsy of infancy] | EFO_1001900[hasExactSynonym=Severe Myoclonic Epilepsy Of Infancy]
sfrp1human	PR_Q8N474[hasExactSynonym=sFRP-1 (human)] | gene_symbol_report?hgnc_id=10776[label=SFRP1 (human)]
sfrp2human	PR_Q96HF1[hasExactSynonym=sFRP-2 (human)] | gene_symbol_report?hgnc_id=10777[label=SFRP2 (human)]
sfrp4human	PR_Q6FHJ7[hasExactSynonym=sFRP-4 (human)] | gene_symbol_report?hgnc_id=10778[label=SFRP4 (human)]
sfrp5human	PR_Q5T4F7[hasExactSynonym=sFRP-5 (human)] | gene_symbol_report?hgnc_id=10779[label=SFRP5 (human)]
sgi	PR_000005422[hasExactSynonym=SgI] | PR_000014633[hasExactSynonym=SGI]
sgihuman	PR_P04279[hasExactSynonym=SGI (human)] | PR_P05060[hasExactSynonym=SgI (human)]
sgii	PR_000014502[hasExactSynonym=SgII] | PR_000014634[hasExactSynonym=SGII]
sgiihuman	PR_P13521[hasExactSynonym=SgII (human)] | PR_Q02383[hasExactSynonym=SGII (human)]
sglt2deficiency	MONDO_0009297[hasExactSynonym=SGLT2 deficiency] | Orphanet_69076[hasExactSynonym=SGLT2 deficiency]
sgs	MONDO_0008426[hasExactSynonym=SGS] | MONDO_0010010[hasExactSynonym=SGS]
sh3bp5human	PR_O60239[hasExactSynonym=SH3BP-5 (human)] | gene_symbol_report?hgnc_id=10827[label=SH3BP5 (human)]
shabbirsyndrome	MONDO_0009513[hasExactSynonym=Shabbir syndrome] | Orphanet_2407[hasExactSynonym=Shabbir syndrome]
shank1human	PR_Q9Y566[hasExactSynonym=Shank1 (human)] | gene_symbol_report?hgnc_id=15474[label=SHANK1 (human)]
shank3human	PR_Q9BYB0[hasExactSynonym=Shank3 (human)] | gene_symbol_report?hgnc_id=14294[label=SHANK3 (human)]
sharmakapoorramjisyndrome	MONDO_0015462[hasExactSynonym=Sharma-Kapoor-Ramji syndrome] | Orphanet_1506[hasExactSynonym=Sharma-Kapoor-Ramji syndrome]
sharpinhuman	PR_Q9H0F6[label=sharpin (human)] | gene_symbol_report?hgnc_id=25321[label=SHARPIN (human)]
she	HANCESTRO_0724[hasExactSynonym=She] | HANCESTRO_0745[hasExactSynonym=She] | MONDO_0100631[hasExactSynonym=SHE]
shfldsyndrome	MONDO_0018050[hasExactSynonym=SHFLD syndrome] | Orphanet_3329[hasExactSynonym=SHFLD syndrome]
shfm	MONDO_0016576[hasExactSynonym=SHFM] | Orphanet_2440[hasExactSynonym=SHFM]
shfmassociatedwithaplasiaoflongbones	MONDO_0018050[hasExactSynonym=SHFM associated with aplasia of long bones] | Orphanet_3329[hasExactSynonym=SHFM associated with aplasia of long bones]
shokeirsyndrome	MONDO_0007085[hasExactSynonym=Shokeir syndrome] | Orphanet_1008[hasExactSynonym=Shokeir syndrome]
shootaxis	PO_0025029[label=shoot axis] | EFO_0000992[hasExactSynonym=shoot axis]
shortfingers	MONDO_0017451[hasExactSynonym=short fingers] | Orphanet_294996[hasExactSynonym=Short fingers]
shortnessofbreath	HP_0002094[hasExactSynonym=Shortness of breath] | EFO_0009727[label=shortness of breath]
shortribpolydactylysyndrometype3	MONDO_0013127[hasExactSynonym=short rib-polydactyly syndrome type 3] | Orphanet_93271[hasExactSynonym=Short rib-polydactyly syndrome type 3]
shortribpolydactylysyndrometype4	MONDO_0010024[hasExactSynonym=short rib-polydactyly syndrome type 4] | Orphanet_93268[hasExactSynonym=Short rib-polydactyly syndrome type 4]
shortribpolydactylysyndromevermanaumofftype	MONDO_0013127[hasExactSynonym=short rib polydactyly syndrome Verma Naumoff type] | Orphanet_93271[label=Short rib-polydactyly syndrome, Verma-Naumoff type]
shorttoes	HP_0001831[hasExactSynonym=Short toes] | MONDO_0017452[hasExactSynonym=short toes] | Orphanet_294998[hasExactSynonym=Short toes]
siah1human	PR_Q8IUQ4[hasExactSynonym=Siah-1 (human)] | gene_symbol_report?hgnc_id=10857[label=SIAH1 (human)]
sialidosistype1	MONDO_0019346[label=sialidosis type 1] | Orphanet_812[hasExactSynonym=Sialidosis type 1]
sialidosistype2	MONDO_0009738[hasExactSynonym=sialidosis, type 2] | MONDO_0009738[label=sialidosis type 2] | Orphanet_87876[hasExactSynonym=Sialidosis type 2]
sialidosistypei	MONDO_0009738[hasExactSynonym=sialidosis, type I] | Orphanet_812[label=sialidosis type I]
sialidosistypeii	MONDO_0009738[hasExactSynonym=sialidosis type II] | Orphanet_87876[label=sialidosis type II]
sianrf	MONDO_0011436[hasExactSynonym=SIANRF] | Orphanet_98920[hasExactSynonym=SIANRF]
siddt	MONDO_0012124[hasExactSynonym=SIDDT] | Orphanet_168593[hasExactSynonym=SIDDT]
sideroblasticanemia	HP_0001924[label=Sideroblastic anemia] | MONDO_0015194[hasExactSynonym=sideroblastic anemia] | MONDO_0015194[label=sideroblastic anemia]
siglec10human	PR_Q96LC7[hasExactSynonym=siglec-10 (human)] | gene_symbol_report?hgnc_id=15620[label=SIGLEC10 (human)]
siglec11human	PR_Q96RL6[hasExactSynonym=siglec-11 (human)] | gene_symbol_report?hgnc_id=15622[label=SIGLEC11 (human)]
siglec12human	PR_Q96PQ1[hasExactSynonym=siglec-12 (human)] | gene_symbol_report?hgnc_id=15482[label=SIGLEC12 (human)]
siglec14human	PR_Q08ET2[hasExactSynonym=siglec-14 (human)] | gene_symbol_report?hgnc_id=32926[label=SIGLEC14 (human)]
siglec15human	PR_Q6ZMC9[hasExactSynonym=siglec-15 (human)] | gene_symbol_report?hgnc_id=27596[label=SIGLEC15 (human)]
siglec1human	PR_Q9BZZ2[hasExactSynonym=siglec-1 (human)] | gene_symbol_report?hgnc_id=11127[label=SIGLEC1 (human)]
siglec5human	PR_O15389[hasExactSynonym=siglec-5 (human)] | gene_symbol_report?hgnc_id=10874[label=SIGLEC5 (human)]
siglec7human	PR_Q9Y286[hasExactSynonym=siglec-7 (human)] | gene_symbol_report?hgnc_id=10876[label=SIGLEC7 (human)]
siglec8human	PR_Q9NYZ4[hasExactSynonym=siglec-8 (human)] | gene_symbol_report?hgnc_id=10877[label=SIGLEC8 (human)]
siglec9human	PR_Q9Y336[hasExactSynonym=siglec-9 (human)] | gene_symbol_report?hgnc_id=10878[label=SIGLEC9 (human)]
silicotuberculosis	MONDO_0021804[hasExactSynonym=silicotuberculosis] | MONDO_0021804[label=silicotuberculosis] | EFO_0007485[hasExactSynonym=silicotuberculosis]
silversyndrome	MONDO_0010043[hasExactSynonym=Silver syndrome] | Orphanet_100998[hasExactSynonym=Silver Syndrome]
simmondsdisease	MONDO_0019591[hasExactSynonym=Simmond's disease] | MONDO_0019591[hasExactSynonym=Simmonds' disease] | EFO_0001380[hasExactSynonym=Simmond's Disease] | EFO_0001380[hasExactSynonym=Simmonds Disease] | EFO_0001380[hasExactSynonym=Simmonds' Disease]
sindhi	HANCESTRO_0710[hasExactSynonym=Sindhi] | HANCESTRO_0800[hasExactSynonym=Sindhi]
sirpb2	PR_000014885[hasExactSynonym=SIRPB2] | PR_000014887[hasExactSynonym=SIRP-b2]
sirpb2human	PR_Q9P1W8[hasExactSynonym=SIRP-b2 (human)] | gene_symbol_report?hgnc_id=16247[label=SIRPB2 (human)]
sirt2	PR_000014889[hasExactSynonym=SIRT2] | EFO_0010795[hasExactSynonym=SIRT2]
situsinversus	MONDO_0010029[hasExactSynonym=situs inversus] | MONDO_0010029[label=situs inversus] | Orphanet_101063[hasExactSynonym=Situs inversus]
situsinversustotalis	MONDO_0010029[hasExactSynonym=situs inversus totalis] | Orphanet_101063[label=Situs inversus totalis]
situsinversusviscerum	HP_0003363[hasExactSynonym=Situs inversus viscerum] | MONDO_0700112[hasExactSynonym=situs inversus viscerum]
siv	MONDO_0700112[hasExactSynonym=SIV] | EFO_0001675[hasExactSynonym=SIV] | EFO_0005226[hasExactSynonym=SIV]
sjogrenlarssonsyndrome	MONDO_0010031[hasExactSynonym=Sjogren Larsson syndrome] | MONDO_0010031[hasExactSynonym=Sjogren-Larsson syndrome] | MONDO_0010031[label=Sjogren-Larsson syndrome] | Orphanet_816[hasExactSynonym=Sjogren-Larsson syndrome] | Orphanet_816[label=Sjögren-Larsson syndrome]
skeletaldysplasia	HP_0002652[label=Skeletal dysplasia] | MONDO_0018230[label=skeletal dysplasia]
skincancer	MONDO_0002898[hasExactSynonym=skin cancer] | MONDO_0002898[label=skin cancer] | EFO_0004198[hasExactSynonym=skin cancer]
skininfection	HP_0100658[hasExactSynonym=Skin infection] | MONDO_0021201[hasExactSynonym=skin infection] | MONDO_0021201[label=skin infection]
skininflammation	HP_0011123[hasExactSynonym=Skin inflammation] | MONDO_0002406[hasExactSynonym=skin inflammation]
skinpigmentationdisorder	MONDO_0019288[label=skin pigmentation disorder] | EFO_1000755[hasExactSynonym=skin pigmentation disorder]
sl2	PR_000010470[hasExactSynonym=SL-2] | EFO_0001233[hasExactSynonym=SL2] | EFO_0005836[hasExactSynonym=SL2]
slc35a3cdg	MONDO_0014248[hasExactSynonym=SLC35A3-CDG] | Orphanet_370943[hasExactSynonym=SLC35A3-CDG]
sle	HP_0002725[hasExactSynonym=SLE] | MONDO_0007915[hasExactSynonym=SLE]
sleepapnea	HP_0010535[hasExactSynonym=Sleep apnea] | HP_0010535[label=Sleep apnea] | EFO_0003877[hasExactSynonym=sleep apnea] | EFO_0003877[label=sleep apnea]
sleepdisturbance	HP_0002360[label=Sleep disturbance] | EFO_0008568[hasExactSynonym=Sleep Disturbance] | EFO_0008568[hasExactSynonym=sleep disturbance]
sleepdisturbances	HP_0002360[hasExactSynonym=Sleep disturbances] | EFO_0008568[hasExactSynonym=Sleep Disturbances] | EFO_0008568[hasExactSynonym=sleep disturbances]
sleepiness	HP_0002329[hasExactSynonym=Sleepiness] | NCIT_C95746[label=sleepiness]
sleepy	HP_0002329[hasExactSynonym=Sleepy] | NCIT_C95746[hasExactSynonym=Sleepy]
slit1human	PR_O75093[hasExactSynonym=slit-1 (human)] | gene_symbol_report?hgnc_id=11085[label=SLIT1 (human)]
slit2human	PR_O94813[hasExactSynonym=slit-2 (human)] | gene_symbol_report?hgnc_id=11086[label=SLIT2 (human)]
slit3human	PR_O75094[hasExactSynonym=slit-3 (human)] | gene_symbol_report?hgnc_id=11087[label=SLIT3 (human)]
slurp1human	PR_P55000[hasExactSynonym=SLURP-1 (human)] | gene_symbol_report?hgnc_id=18746[label=SLURP1 (human)]
sma	MONDO_0019079[hasExactSynonym=SMA] | EFO_0008929[label=SMA] | EFO_0010970[hasExactSynonym=SMA]
sma2	MONDO_0009673[hasExactSynonym=SMA2] | Orphanet_83418[hasExactSynonym=SMA2]
sma3	MONDO_0009672[hasExactSynonym=SMA3] | Orphanet_83419[hasExactSynonym=SMA3]
sma4	MONDO_0010056[hasExactSynonym=SMA4] | Orphanet_83420[hasExactSynonym=SMA4]
smad1human	PR_Q15797[hasExactSynonym=SMAD 1 (human)] | PR_Q15797[hasExactSynonym=Smad1 (human)] | gene_symbol_report?hgnc_id=6767[label=SMAD1 (human)]
smad2human	PR_Q15796[hasExactSynonym=SMAD 2 (human)] | PR_Q15796[hasExactSynonym=Smad2 (human)] | gene_symbol_report?hgnc_id=6768[label=SMAD2 (human)]
smad3human	PR_P84022[hasExactSynonym=SMAD 3 (human)] | PR_P84022[hasExactSynonym=Smad3 (human)] | gene_symbol_report?hgnc_id=6769[label=SMAD3 (human)]
smad4human	PR_Q13485[hasExactSynonym=SMAD 4 (human)] | PR_Q13485[hasExactSynonym=Smad4 (human)] | gene_symbol_report?hgnc_id=6770[label=SMAD4 (human)]
smad5human	PR_Q99717[hasExactSynonym=SMAD 5 (human)] | PR_Q99717[hasExactSynonym=Smad5 (human)] | gene_symbol_report?hgnc_id=6771[label=SMAD5 (human)]
smaii	MONDO_0009673[hasExactSynonym=SMA-II] | Orphanet_83418[hasExactSynonym=SMA-II]
smaiii	MONDO_0009672[hasExactSynonym=SMA-III] | Orphanet_83419[hasExactSynonym=SMA-III]
smaiv	MONDO_0010056[hasExactSynonym=SMA-IV] | Orphanet_83420[hasExactSynonym=SMA-IV]
smallintestineneuroendocrinetumorwelldifferentiatedloworintermediategrade	MONDO_0002995[label=small intestine neuroendocrine tumor, well differentiated, low or intermediate grade] | EFO_1001928[hasExactSynonym=small intestine neuroendocrine tumor, well differentiated, low or intermediate grade]
smap1	PR_000015258[hasExactSynonym=SMAP1] | PR_000017090[hasExactSynonym=SMAP-1]
smap1human	PR_Q9H3U1[hasExactSynonym=SMAP-1 (human)] | gene_symbol_report?hgnc_id=19651[label=SMAP1 (human)]
smard1	MONDO_0011436[hasExactSynonym=SMARD1] | Orphanet_98920[hasExactSynonym=SMARD1]
smatype3	MONDO_0009672[hasExactSynonym=SMA type 3] | Orphanet_83419[hasExactSynonym=SMA type 3]
smax2	MONDO_0010532[hasExactSynonym=SMAX2] | Orphanet_1145[hasExactSynonym=SMAX2]
smc3human	PR_Q9UQE7[hasExactSynonym=SMC-3 (human)] | gene_symbol_report?hgnc_id=2468[label=SMC3 (human)]
smdcrd	MONDO_0012160[hasExactSynonym=SMD-CRD] | MONDO_0012160[hasExactSynonym=SmD-CRD] | Orphanet_85167[hasExactSynonym=SMD-CRD]
sme	MONDO_0100135[hasExactSynonym=SME] | PR_000015346[hasExactSynonym=Sm-E] | PR_000015346[hasExactSynonym=SmE]
smoc1human	PR_Q9H4F8[hasExactSynonym=SMOC-1 (human)] | gene_symbol_report?hgnc_id=20318[label=SMOC1 (human)]
smoc2human	PR_Q9H3U7[hasExactSynonym=SMOC-2 (human)] | gene_symbol_report?hgnc_id=20323[label=SMOC2 (human)]
smoking	EFO_0003768[hasExactSynonym=smoking] | EFO_0004318[hasExactSynonym=smoking]
smoothmuscle	UBERON_0001135[hasExactSynonym=smooth muscle] | EFO_0000889[label=smooth muscle]
sms	MONDO_0008434[hasExactSynonym=SMS] | PR_000015301[hasExactSynonym=SMS]
snap23human	PR_O00161[hasExactSynonym=SNAP-23 (human)] | gene_symbol_report?hgnc_id=11131[label=SNAP23 (human)]
snap25human	PR_P60880[hasExactSynonym=SNAP-25 (human)] | gene_symbol_report?hgnc_id=11132[label=SNAP25 (human)]
snap29human	PR_O95721[hasExactSynonym=SNAP-29 (human)] | gene_symbol_report?hgnc_id=11133[label=SNAP29 (human)]
snyderrobinsonsyndrome	MONDO_0010664[hasExactSynonym=Snyder-Robinson Syndrome] | MONDO_0010664[hasExactSynonym=Snyder-Robinson syndrome] | Orphanet_3063[hasExactSynonym=Snyder-Robinson syndrome]
socs3human	PR_O14543[hasExactSynonym=SOCS-3 (human)] | gene_symbol_report?hgnc_id=19391[label=SOCS3 (human)]
sod	MONDO_0008428[hasExactSynonym=SOD] | Orphanet_3157[hasExactSynonym=SOD]
sohvalsoffersyndrome	MONDO_0010617[hasExactSynonym=Sohval-Soffer syndrome] | Orphanet_2234[hasExactSynonym=Sohval-Soffer syndrome]
solamensyndrome	MONDO_0015293[hasExactSynonym=SOLAMEN syndrome] | Orphanet_137608[hasExactSynonym=SOLAMEN syndrome]
solomonsyndrome	MONDO_0008097[hasExactSynonym=Solomon syndrome] | Orphanet_2612[hasExactSynonym=Solomon syndrome]
somali	AfPO_0000389[label=Somali] | HANCESTRO_0657[hasExactSynonym=Somali]
sommerrathbunbattlessyndrome	MONDO_0008796[hasExactSynonym=Sommer-Rathbun-Battles syndrome] | Orphanet_1064[hasExactSynonym=Sommer-Rathbun-Battles syndrome]
sonodasyndrome	MONDO_0010039[hasExactSynonym=Sonoda syndrome] | Orphanet_1355[hasExactSynonym=Sonoda syndrome]
sorsbysfundusdystrophy	MONDO_0007640[hasExactSynonym=Sorsby's fundus dystrophy] | Orphanet_59181[label=Sorsby's fundus dystrophy]
sorsbysyndrome	MONDO_0007353[hasExactSynonym=Sorsby syndrome] | Orphanet_1471[hasExactSynonym=Sorsby syndrome]
sos1human	PR_Q07889[hasExactSynonym=SOS-1 (human)] | gene_symbol_report?hgnc_id=11187[label=SOS1 (human)]
spanish	HANCESTRO_0392[label=Spanish] | HANCESTRO_0840[hasExactSynonym=Spanish]
spanxn3human	PR_Q5MJ09[hasExactSynonym=SPANX-N3 (human)] | gene_symbol_report?hgnc_id=33176[label=SPANXN3 (human)]
spanxn4human	PR_Q5MJ08[hasExactSynonym=SPANX-N4 (human)] | gene_symbol_report?hgnc_id=33177[label=SPANXN4 (human)]
sparca	MONDO_0014159[hasExactSynonym=SPARCA] | Orphanet_352403[hasExactSynonym=SPARCA]
sparca1	MONDO_0014159[hasExactSynonym=SPARCA1] | Orphanet_352403[hasExactSynonym=SPARCA1]
spasticgaittype2	MONDO_0010733[hasExactSynonym=spastic gait type 2] | Orphanet_99015[hasExactSynonym=Spastic gait type 2]
spasticparaparesistype2	MONDO_0010733[hasExactSynonym=spastic paraparesis type 2] | Orphanet_99015[hasExactSynonym=Spastic paraparesis type 2]
spasticparaplegiaamyotrophyofhandsandfeet	MONDO_0010043[hasExactSynonym=spastic paraplegia-amyotrophy of hands and feet] | Orphanet_100998[hasExactSynonym=Spastic paraplegia-amyotrophy of hands and feet]
spasticparaplegiaduetoneuropathytargetesterasemutation	MONDO_0012787[hasExactSynonym=spastic paraplegia due to neuropathy target esterase mutation] | Orphanet_139480[hasExactSynonym=Spastic paraplegia due to neuropathy target esterase mutation]
spasticparaplegiaduetontemutation	MONDO_0012787[hasExactSynonym=spastic paraplegia due to NTE mutation] | Orphanet_139480[hasExactSynonym=Spastic paraplegia due to NTE mutation]
spasticparaplegiaduetopartialtfgdeficiency	MONDO_0014295[hasExactSynonym=spastic paraplegia due to partial TFG deficiency] | EFO_0009017[hasExactSynonym=Spastic paraplegia due to partial TFG deficiency]
spasticparaplegiaopticatrophyneuropathysyndrome	MONDO_0012297[hasExactSynonym=spastic paraplegia-optic atrophy-neuropathy syndrome] | Orphanet_320406[label=Spastic paraplegia-optic atrophy-neuropathy syndrome]
spasticparaplegiatype2	MONDO_0010733[hasExactSynonym=spastic paraplegia type 2] | Orphanet_99015[label=Spastic paraplegia type 2]
spasticquadriplegia	HP_0002510[hasExactSynonym=Spastic quadriplegia] | MONDO_0016215[hasExactSynonym=spastic quadriplegia]
spasticquadriplegiccerebralpalsy	MONDO_0016215[hasExactSynonym=spastic quadriplegic cerebral palsy] | MONDO_0016215[label=spastic quadriplegic cerebral palsy] | Orphanet_210141[hasExactSynonym=Spastic quadriplegic cerebral palsy]
spax3	MONDO_0012664[hasExactSynonym=SPAX3] | Orphanet_314603[hasExactSynonym=SPAX3]
spax4	MONDO_0013354[hasExactSynonym=SPAX4] | Orphanet_254343[hasExactSynonym=SPAX4]
spax5	MONDO_0013776[hasExactSynonym=SPAX5] | Orphanet_313772[hasExactSynonym=SPAX5]
spd	PR_000014775[hasExactSynonym=SP-D] | Orphanet_98454[hasExactSynonym=SPD]
spectrinassociatedautosomalrecessivecerebellarataxiatype1	MONDO_0014159[hasExactSynonym=spectrin-associated autosomal recessive cerebellar ataxia type 1] | Orphanet_352403[hasExactSynonym=Spectrin-associated autosomal recessive cerebellar ataxia type 1]
sperm	CL_0000019[label=sperm] | Orphanet_2816[hasExactSynonym=SPERM]
spg10	MONDO_0011408[hasExactSynonym=SPG10] | Orphanet_100991[hasExactSynonym=SPG10]
spg11	MONDO_0011445[hasExactSynonym=SPG11] | Orphanet_2822[hasExactSynonym=SPG11]
spg12	MONDO_0011489[hasExactSynonym=SPG12] | Orphanet_100993[hasExactSynonym=SPG12]
spg13	MONDO_0011532[hasExactSynonym=SPG13] | Orphanet_100994[hasExactSynonym=SPG13]
spg14	MONDO_0011522[hasExactSynonym=SPG14] | Orphanet_100995[hasExactSynonym=SPG14]
spg15	MONDO_0010044[hasExactSynonym=SPG15] | Orphanet_100996[hasExactSynonym=SPG15]
spg16	MONDO_0010287[hasExactSynonym=SPG16] | Orphanet_100997[hasExactSynonym=SPG16]
spg17	MONDO_0010043[hasExactSynonym=SPG17] | Orphanet_100998[hasExactSynonym=SPG17]
spg18	MONDO_0012639[hasExactSynonym=SPG18] | Orphanet_209951[hasExactSynonym=SPG18]
spg19	MONDO_0011785[hasExactSynonym=SPG19] | Orphanet_100999[hasExactSynonym=SPG19]
spg2	MONDO_0010733[hasExactSynonym=SPG2] | Orphanet_99015[hasExactSynonym=SPG2]
spg21	MONDO_0009568[hasExactSynonym=SPG21] | PR_000015519[hasExactSynonym=SPG21]
spg23	MONDO_0010046[hasExactSynonym=SPG23] | Orphanet_101003[hasExactSynonym=SPG23]
spg24	MONDO_0011862[hasExactSynonym=SPG24] | Orphanet_101004[hasExactSynonym=SPG24]
spg25	MONDO_0011992[hasExactSynonym=SPG25] | Orphanet_101005[hasExactSynonym=SPG25]
spg26	MONDO_0012213[hasExactSynonym=SPG26] | Orphanet_101006[hasExactSynonym=SPG26]
spg27	MONDO_0012181[hasExactSynonym=SPG27] | Orphanet_101007[hasExactSynonym=SPG27]
spg28	MONDO_0012256[hasExactSynonym=SPG28] | Orphanet_101008[hasExactSynonym=SPG28]
spg29	MONDO_0012334[hasExactSynonym=SPG29] | Orphanet_101009[hasExactSynonym=SPG29]
spg30	MONDO_0012476[hasExactSynonym=SPG30] | Orphanet_101010[hasExactSynonym=SPG30]
spg31	MONDO_0012453[hasExactSynonym=SPG31] | Orphanet_101011[hasExactSynonym=SPG31]
spg32	MONDO_0012643[hasExactSynonym=SPG32] | Orphanet_171622[hasExactSynonym=SPG32]
spg34	MONDO_0010418[hasExactSynonym=SPG34] | Orphanet_171607[hasExactSynonym=SPG34]
spg35	MONDO_0012866[hasExactSynonym=SPG35] | Orphanet_171629[hasExactSynonym=SPG35]
spg36	MONDO_0013132[hasExactSynonym=SPG36] | Orphanet_320365[hasExactSynonym=SPG36]
spg37	MONDO_0012766[hasExactSynonym=SPG37] | Orphanet_171612[hasExactSynonym=SPG37]
spg38	MONDO_0012867[hasExactSynonym=SPG38] | Orphanet_171617[hasExactSynonym=SPG38]
spg39	MONDO_0012787[hasExactSynonym=SPG39] | Orphanet_139480[hasExactSynonym=SPG39]
spg4	MONDO_0008438[hasExactSynonym=SPG4] | Orphanet_100985[hasExactSynonym=SPG4]
spg41	MONDO_0013239[hasExactSynonym=SPG41] | Orphanet_320355[hasExactSynonym=SPG41]
spg42	MONDO_0012928[hasExactSynonym=SPG42] | Orphanet_171863[hasExactSynonym=SPG42]
spg43	MONDO_0014024[hasExactSynonym=SPG43] | Orphanet_320370[hasExactSynonym=SPG43]
spg44	MONDO_0013179[hasExactSynonym=SPG44] | Orphanet_320401[hasExactSynonym=SPG44]
spg45	MONDO_0013165[hasExactSynonym=SPG45] | Orphanet_320396[hasExactSynonym=SPG45]
spg46	MONDO_0013737[hasExactSynonym=SPG46] | Orphanet_320391[hasExactSynonym=SPG46]
spg48	MONDO_0013342[hasExactSynonym=SPG48] | Orphanet_306511[hasExactSynonym=SPG48]
spg49	MONDO_0014016[hasExactSynonym=SPG49] | Orphanet_320385[hasExactSynonym=SPG49]
spg53	MONDO_0013962[hasExactSynonym=SPG53] | Orphanet_319199[hasExactSynonym=SPG53]
spg54	MONDO_0014018[hasExactSynonym=SPG54] | Orphanet_320380[hasExactSynonym=SPG54]
spg55	MONDO_0014020[hasExactSynonym=SPG55] | Orphanet_320375[hasExactSynonym=SPG55]
spg56	MONDO_0014015[hasExactSynonym=SPG56] | Orphanet_320411[hasExactSynonym=SPG56]
spg57	MONDO_0014295[hasExactSynonym=SPG57] | EFO_0009017[hasExactSynonym=SPG57]
spg5a	MONDO_0010047[hasExactSynonym=SPG5A] | Orphanet_100986[hasExactSynonym=SPG5A]
spg6	MONDO_0010878[hasExactSynonym=SPG6] | Orphanet_100988[hasExactSynonym=SPG6]
spg61	MONDO_0014304[hasExactSynonym=SPG61] | Orphanet_401780[hasExactSynonym=SPG61]
spg62	MONDO_0014302[hasExactSynonym=SPG62] | Orphanet_401785[hasExactSynonym=SPG62]
spg63	MONDO_0014305[hasExactSynonym=SPG63] | Orphanet_401805[hasExactSynonym=SPG63]
spg64	MONDO_0014303[hasExactSynonym=SPG64] | Orphanet_401810[hasExactSynonym=SPG64]
spg65	MONDO_0013165[hasExactSynonym=SPG65] | Orphanet_320396[hasExactSynonym=SPG65]
spg7	MONDO_0011803[hasExactSynonym=SPG7] | Orphanet_99013[hasExactSynonym=SPG7]
spg72	MONDO_0014282[hasExactSynonym=SPG72] | Orphanet_401849[hasExactSynonym=SPG72]
spg8	MONDO_0011339[hasExactSynonym=SPG8] | Orphanet_100989[hasExactSynonym=SPG8]
spin3human	PR_Q5JUX0[hasExactSynonym=SPIN-3 (human)] | gene_symbol_report?hgnc_id=27272[label=SPIN3 (human)]
spinalatrophyophthalmoplegiapyramidalsyndrome	MONDO_0015250[label=spinal atrophy-ophthalmoplegia-pyramidal syndrome] | Orphanet_1217[label=Spinal atrophy - ophthalmoplegia - pyramidal syndrome]
spinalbulbarmuscularatrophy	MONDO_0010735[hasExactSynonym=spinal bulbar muscular atrophy] | MONDO_0016113[hasExactSynonym=spinal-bulbar muscular atrophy]
spinalcancer	MONDO_0003544[hasExactSynonym=spinal cancer] | EFO_0003828[hasExactSynonym=spinal cancer]
spinaldysraphism	HP_0010301[label=Spinal dysraphism] | MONDO_0018075[hasExactSynonym=spinal dysraphism] | EFO_1001210[hasExactSynonym=Spinal Dysraphism] | EFO_1001210[hasExactSynonym=spinal dysraphism]
spinalmuscularatrophy	MONDO_0019079[hasExactSynonym=Spinal Muscular Atrophy] | EFO_0008525[hasExactSynonym=spinal muscular atrophy] | EFO_0008525[label=spinal muscular atrophy]
spinalmuscularatrophyadultform	MONDO_0010056[hasExactSynonym=spinal muscular atrophy, adult form] | Orphanet_83420[hasExactSynonym=Spinal muscular atrophy, adult form]
spinalmuscularatrophywitharthrogryposis	MONDO_0010532[hasExactSynonym=spinal muscular atrophy with arthrogryposis] | Orphanet_1145[hasExactSynonym=Spinal muscular atrophy with arthrogryposis]
spinalmuscularatrophywithrespiratorydistresstype1	MONDO_0011436[hasExactSynonym=spinal muscular atrophy with respiratory distress type 1] | Orphanet_98920[label=Spinal muscular atrophy with respiratory distress type 1]
spinalstenosisoflumbarregion	MONDO_0044753[hasExactSynonym=spinal stenosis of lumbar region] | EFO_0007490[hasExactSynonym=Spinal stenosis of lumbar region]
spinocerebellarataxiatype1withaxonalneuropathy	MONDO_0011801[hasExactSynonym=spinocerebellar ataxia type 1 with axonal neuropathy] | Orphanet_94124[label=Spinocerebellar ataxia type 1 with axonal neuropathy]
spinocerebellarataxiatype3	MONDO_0007182[hasExactSynonym=spinocerebellar ataxia type 3] | Orphanet_98757[label=Spinocerebellar ataxia type 3]
spinocerebellarataxiatype43	MONDO_0014867[hasExactSynonym=spinocerebellar ataxia type 43] | EFO_0009060[label=Spinocerebellar ataxia type 43]
spinocerebellarataxiawithaxonalneuropathytype2	MONDO_0018996[hasExactSynonym=spinocerebellar ataxia with axonal neuropathy type 2] | Orphanet_64753[label=Spinocerebellar ataxia with axonal neuropathy type 2]
spinocerebellardegeneration	HP_0002503[hasExactSynonym=Spinocerebellar degeneration] | MONDO_0000437[hasExactSynonym=spinocerebellar degeneration]
spleenneoplasm	MONDO_0036696[label=spleen neoplasm] | EFO_0007491[hasExactSynonym=spleen neoplasm]
splenicneoplasm	MONDO_0036696[hasExactSynonym=splenic neoplasm] | EFO_0007491[hasExactSynonym=splenic neoplasm]
